[2025-10-30 16:33:54,086] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0001 | Email: admin@example.com | Role: Admin | TempPassword: QsJhzGf1
[2025-10-30 16:33:56,465] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0002 | Email: hr.manager@example.com | Role: Manager | TempPassword: CwFxngHK
[2025-10-30 16:33:58,922] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0003 | Email: eng.manager@example.com | Role: Manager | TempPassword: okmEogIx
[2025-10-30 16:34:01,596] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0004 | Email: sales.manager@example.com | Role: Manager | TempPassword: ugaxht&N
[2025-10-30 16:34:04,124] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0005 | Email: mkt.manager@example.com | Role: Manager | TempPassword: eXGK0pLZ
[2025-10-30 16:34:06,699] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0006 | Email: fin.manager@example.com | Role: Manager | TempPassword: BqA@roax
[2025-10-30 16:34:09,502] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0007 | Email: hr.emp1@example.com | Role: Employee | TempPassword: Py@ew%8#
[2025-10-30 16:34:12,132] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0008 | Email: hr.emp2@example.com | Role: Employee | TempPassword: vqsVNOXd
[2025-10-30 16:34:14,674] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0009 | Email: hr.emp3@example.com | Role: Employee | TempPassword: g5r4gB9V
[2025-10-30 16:34:17,331] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0010 | Email: hr.emp4@example.com | Role: Employee | TempPassword: BJUJ0Kqz
[2025-10-30 16:34:19,999] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0011 | Email: hr.emp5@example.com | Role: Employee | TempPassword: *5SZL2$g
[2025-10-30 16:34:22,649] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0012 | Email: hr.emp6@example.com | Role: Employee | TempPassword: w%bg8xx4
[2025-10-30 16:34:25,290] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0013 | Email: eng.emp1@example.com | Role: Employee | TempPassword: TGjEWaJa
[2025-10-30 16:34:27,925] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0014 | Email: eng.emp2@example.com | Role: Employee | TempPassword: RDQaHEZl
[2025-10-30 16:34:30,667] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0015 | Email: eng.emp3@example.com | Role: Employee | TempPassword: K*Dxfr#D
[2025-10-30 16:34:33,247] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0016 | Email: eng.emp4@example.com | Role: Employee | TempPassword: v2%dwB&$
[2025-10-30 16:34:35,848] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0017 | Email: eng.emp5@example.com | Role: Employee | TempPassword: uA3XdYbe
[2025-10-30 16:34:38,506] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0018 | Email: eng.emp6@example.com | Role: Employee | TempPassword: EL4GrPfv
[2025-10-30 16:34:41,097] [INFO] employee_creation: [TEMP PASSWORD BACKFILL] EmpID: EMP0019 | Email: sales.emp1@example.com | Role: Employee | TempPassword: frJCLMW3
